Date,Comparison_Type
20110101,0
20110102,112
20110103,223
20110104,332
20110105,0
20110106,112
20110107,223
20110108,332
20110109,1212
20110110,1234
20110111,0
20110112,213
20110113,2231
20110114,1256
20110115,2231
20110116,3442
20110117,0
20110118,8013
20110119,1857
20110120,6085
20110121,5533
20110124,3217
20110125,6966
20110126,7116
20110127,2245
20110128,0
20110129,8133
20110130,8463
20110131,204
20110201,3996
20110202,0
20110203,3072
20110204,6501
20110205,4067
20110206,8656
20110207,2262
20110208,3688
20110209,0
20110210,4007
20110211,1996
20110212,1562
20110213,2194
20110214,6053
20110215,6378
20110216,2295
20110217,0
20110218,4142
20110219,4893
20110220,9219
20110221,0
20110222,7348
20110223,416
20110224,1498
20110225,9539
20110226,3540
20110227,3179
20110228,7924
20110301,6524
20110302,6809
20110303,9056
20110304,0
20110305,5073
20110306,277
20110307,1109
20110308,3792
20110309,6168
20110310,8151
20110311,3475
20110312,1431
20110313,5411
20110314,7660
20110315,904
20110316,3975
20110317,0
20110318,9095
20110319,3632
20110320,9239
20110321,6963
20110322,2054
20110323,6815
20110324,9126
20110325,7984
20110326,9858
20110327,4589
20110328,4104
20110329,0
20110330,754
20110331,4618
20110401,772
20110402,5671
20110403,5746
20110404,1083
20110405,711
20110406,3861
20110407,676
20110408,378
20110409,4003
20110410,0
20110411,4538
20110412,6333
20110413,5417
20110414,2249
20110415,9820
20110416,7295
20110417,5206
20110418,588
20110419,1972
20110420,0
20110421,4886
20110422,8640
20110424,8988
20110425,7204
20110426,1693
20110427,7830
20110428,4699
20110429,1337
20110501,9617
20110502,5378
20110503,565
20110504,5329
20110505,6859
20110506,7659
20110507,7455
20110508,2214
20110509,1849
20110510,5250
20110511,2869
20110512,6644
20110513,8971
20110514,8279
20110515,9403
20110516,3814
20110517,9133
20110518,1383
20110519,6781
20110520,9875
20110521,3995
20110522,661
20110523,9456
20110524,4515
20110525,6049
20110526,5158
20110527,7553
20110528,2540
20110529,1957
20110530,5016
20110531,1735
20110601,440
20110602,212
20110603,50
20110604,55
20110605,397
20110606,456
20110607,322
20110608,138
20110609,250
20110610,488
20110611,122
20110612,229
20110613,86
20110614,431
20110615,18
20110616,119
20110617,269
20110618,11
20110619,207
20110620,240
20110621,388
20110622,354
20110623,338
20110624,74
20110625,303
20110626,30
20110627,202
20110628,299
20110629,274
20110630,423
20110701,1410
20110702,8233
20110703,2332
20110704,9690
20110705,4472
20110706,7942
20110707,6166
20110708,7725
20110709,0
20110710,5064
20110711,5168
20110712,5198
20110713,8023
20110714,506
20110715,7170
20110716,621
20110717,9054
20110718,6029
20110719,8085
20110720,8
20110721,8427
20110722,3034
20110723,367
20110724,8882
20110725,4572
20110726,4368
20110727,0
20110728,3657
20110729,6907
20110730,1686
20110731,0
20110801,9924
20110802,3776
20110803,6485
20110804,305
20110805,7990
20110806,2876
20110807,9542
20110808,4124
20110809,4943
20110810,1406
20110811,3553
20110812,5227
20110813,6772
20110814,3411
20110815,2743
20110816,2526
20110817,7236
20110818,4364
20110819,180
20110820,4561
20110821,3768
20110822,4308
20110823,6261
20110824,7689
20110825,6854
20110826,9562
20110827,133
20110828,1375
20110829,4242
20110830,3474
20110831,5080
20110901,4664
20110902,910
20110903,9262
20110904,5536
20110905,9604
20110906,7131
20110907,3660
20110908,8236
20110909,4855
20110910,964
20110911,8617
20110912,5524
20110913,6707
20110914,8828
20110915,5719
20110916,4972
20110917,1256
20110918,8530
20110919,588
20110920,76
20110921,4262
20110922,8707
20110923,0
20110924,4568
20110925,7049
20110926,6768
20110927,2567
20110928,9310
20110929,176
20110930,1121
20111001,710
20111002,5840
20111003,7129
20111004,5521
20111005,2282
20111006,691
20111007,5678
20111008,8783
20111009,8895
20111010,345
20111011,6600
20111012,238
20111013,9711
20111014,9714
20111015,9194
20111016,390
20111017,5356
20111018,7345
20111019,3337
20111020,9253
20111021,9551
20111022,8423
20111023,34
20111024,9692
20111025,1742
20111026,889
20111027,4210
20111028,1213
20111029,7692
20111030,3228
20111031,8794
20111101,183
20111102,8988
20111103,443
20111104,9317
20111105,3832
20111106,6376
20111107,6174
20111108,0
20111109,2743
20111110,2760
20111111,9367
20111112,3221
20111113,4092
20111114,217
20111115,2759
20111116,5897
20111117,9579
20111118,7935
20111119,178
20111120,7450
20111121,4219
20111122,2881
20111123,1296
20111124,5231
20111125,7944
20111126,1203
20111127,2149
20111128,960
20111129,1817
20111130,7332
20111201,5598
20111202,7250
20111203,9265
20111204,5731
20111205,7250
20111206,4639
20111207,5091
20111208,3784
20111209,1269
20111210,5660
20111211,3417
20111212,2748
20111213,4676
20111214,1023
20111215,0
20111216,9298
20111217,6058
20111218,3848
20111219,2188
20111220,2248
20111221,8378
20111222,4660
20111223,6680
20111224,2374
20111225,9909
20111226,1519
20111227,3377
20111228,3349
20111229,5318
20111230,7768
20111231,947
20120101,0
20120102,112
20120103,223
20120104,332
20120105,0
20120106,112
20120107,223
20120108,332
20120109,1212
20120110,1234
20120111,0
20120112,213
20120113,2231
20120114,1256
20120115,2231
20120116,6289
20120117,0
20120118,4802
20120119,6890
20120120,1475
20120121,5665
20120122,9727
20120123,5725
20120124,8207
20120125,7769
20120126,4219
20120127,9011
20120128,6987
20120129,2302
20120130,5246
20120131,6379
20120201,237
20120202,4499
20120203,5871
20120204,4941
20120205,7789
20120206,1523
20120207,9227
20120208,7572
20120209,9132
20120210,9596
20120211,111
20120212,9246
20120213,152
20120214,6276
20120215,2606
20120216,6758
20120217,8484
20120218,342
20120219,663
20120220,3601
20120221,3835
20120222,553
20120223,5649
20120224,9217
20120225,2575
20120226,7639
20120227,6362
20120228,6753
20120229,7463
20120301,7529
20120302,9292
20120303,9332
20120304,4676
20120305,2426
20120306,5853
20120307,6662
20120308,5548
20120309,1814
20120310,3946
20120311,6713
20120312,6532
20120313,7276
20120314,2319
20120315,179
20120316,8128
20120317,9903
20120318,6786
20120319,8260
20120320,1527
20120321,718
20120322,5145
20120323,8389
20120324,9501
20120325,2996
20120326,9838
20120327,9688
20120328,8740
20120329,9419
20120330,793
20120331,1107
20120401,2642
20120402,9047
20120403,2402
20120404,9577
20120405,2917
20120406,111
20120407,3216
20120408,2655
20120409,3345
20120410,4367
20120411,7558
20120412,7721
20120413,5830
20120414,8624
20120415,298
20120416,1245
20120417,3050
20120418,6344
20120419,665
20120420,7367
20120422,8414
20120423,1060
20120424,6754
20120425,8741
20120426,699
20120427,8106
20120428,1271
20120429,1533
20120430,9730
20120501,8679
20120502,6455
20120503,6123
20120504,9452
20120505,2698
20120506,2792
20120507,2012
20120508,1247
20120509,416
20120510,4461
20120511,2030
20120512,4399
20120513,0
20120514,2861
20120515,5331
20120516,5332
20120517,15
20120518,19
20120519,1957
20120520,622
20120521,4279
20120522,7409
20120523,504
20120524,4700
20120525,4349
20120526,2224
20120527,8543
20120528,6506
20120529,5009
20120530,4728
20120531,4715
20120601,290
20120602,76
20120603,21
20120604,317
20120605,73
20120606,255
20120607,106
20120608,174
20120609,162
20120610,200
20120611,151
20120612,377
20120613,472
20120614,328
20120615,76
20120616,320
20120617,48
20120618,485
20120619,492
20120620,465
20120621,444
20120622,295
20120623,263
20120624,479
20120625,55
20120626,219
20120627,153
20120628,353
20120629,309
20120630,296
20120701,9932
20120702,5855
20120703,6731
20120704,585
20120705,3250
20120706,9982
20120707,5568
20120708,4645
20120709,5596
20120710,6143
20120711,6691
20120712,4193
20120713,9106
20120714,6478
20120716,3636
20120717,0
20120718,7875
20120719,3584
20120720,8992
20120721,9195
20120722,518
20120723,9070
20120724,6333
20120725,5171
20120726,3649
20120727,8458
20120728,5303
20120729,54
20120730,4632
20120731,4962
20120801,7544
20120802,212
20120803,8703
20120804,1404
20120805,6372
20120806,8941
20120807,1896
20120808,8617
20120809,8788
20120810,4897
20120811,1170
20120813,7676
20120814,8188
20120815,2821
20120816,2007
20120817,4763
20120818,9553
20120819,2333
20120820,7490
20120821,8250
20120822,8116
20120823,8806
20120824,4198
20120825,650
20120826,2423
20120827,8015
20120828,5220
20120829,1913
20120830,4240
20120831,1099
20120901,9571
20120902,3148
20120903,5451
20120904,8008
20120905,4301
20120906,6299
20120907,5574
20120908,5908
20120909,346
20120910,1207
20120911,5301
20120912,2440
20120913,4110
20120914,4515
20120915,5830
20120916,9231
20120917,2109
20120918,4574
20120919,5363
20120920,8434
20120921,3103
20120922,8942
20120923,2213
20120924,6811
20120925,0
20120926,3801
20120927,6888
20120928,536
20120929,3204
20120930,8898
20121001,332
20121002,3795
20121003,1936
20121004,83
20121005,9850
20121006,2152
20121007,4353
20121008,4650
20121009,9010
20121010,3998
20121011,4543
20121012,4065
20121013,3249
20121014,5843
20121015,7970
20121016,5609
20121017,4206
20121018,4157
20121019,9961
20121020,5191
20121021,7005
20121022,7345
20121023,4904
20121024,4850
20121025,0
20121026,8155
20121027,3905
20121028,2525
20121029,2860
20121030,5848
20121031,5655
20121101,202
20121102,6101
20121103,4730
20121104,838
20121105,7590
20121106,5497
20121107,1900
20121108,997
20121109,2335
20121110,3273
20121112,6061
20121113,4044
20121114,8919
20121115,3649
20121116,5702
20121117,4389
20121118,8486
20121119,0
20121120,6068
20121121,4434
20121122,9619
20121123,2364
20121124,1058
20121125,7245
20121126,7050
20121127,7138
20121128,466
20121129,1960
20121130,4938
20121201,6749
20121202,311
20121203,6236
20121204,2802
20121205,0
20121206,8356
20121207,768
20121208,5782
20121209,6214
20121210,591
20121211,9568
20121212,5053
20121213,2072
20121214,7729
20121215,461
20121216,7629
20121217,3978
20121218,3410
20121219,7798
20121220,9452
20121221,1101
20121222,6193
20121223,3959
20121225,7677
20121226,4849
20121227,437
20121228,3228
20121229,7474
20121230,7304
20121231,2366
20130101,0
20130102,112
20130103,223
20130104,332
20130105,0
20130106,112
20130107,223
20130108,332
20130109,1212
20130110,1234
20130111,0
20130112,213
20130113,2231
20130114,1256
20130115,2231
20130116,1108
20130117,0
20130118,1819
20130119,6951
20130120,1738
20130121,3588
20130122,8216
20130123,3841
20130124,6572
20130125,0
20130126,0
20130127,0
20130128,0
20130129,5292
20130130,9993
20130131,4689
20130201,7786
20130202,3462
20130203,7675
20130204,3429
20130205,323
20130206,8185
20130207,2108
20130208,3108
20130209,9337
20130210,4711
20130211,2491
20130212,4042
20130213,9614
20130214,8133
20130215,9548
20130216,1108
20130217,98
20130218,6157
20130219,7108
20130220,8872
20130221,3336
20130222,1659
20130223,4119
20130224,5835
20130225,4398
20130226,6683
20130227,4397
20130228,277
20130301,1578
20130302,3980
20130303,9009
20130304,5680
20130305,4808
20130306,6612
20130307,2685
20130308,3413
20130309,935
20130310,7116
20130311,8075
20130312,6631
20130313,3820
20130314,840
20130315,8472
20130316,9154
20130317,3180
20130318,6397
20130319,2713
20130320,4617
20130321,5113
20130322,8916
20130323,9558
20130324,7796
20130325,5200
20130326,9819
20130327,3706
20130328,3118
